StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,vA_liable_AV_1,vB_mnfctr_liable_AV_1,vA_cntrfctl_AV_1,vB_cntrfctl_AV_1,avoid_AV_1,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_liable_1,vB_driver_liable_1,vB_mnfctr_liable_1,vA_cntrfctl_1,vB_cntrfctl_1,avoid_1,comp1,comp_accident,av_trust_1_1,av_trust_2_1,av_trust_3_1,av_trust_4_1,av_trust_5_1,ai_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,FL_4_DO,questions_1_AV_DO,questions_2_AV_DO,questions_1_DO,questions_2_DO,trust_scale_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent,This is an attention check. John is taller than Paul. Who is shorter?,"What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: The driver of Vehicle A is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: The manufacturer of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):




How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle A could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):




How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle B could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):


How much do you agree: Vehicle B could have done more to avoid the accident. - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):


How much do you agree: The driver of Vehicle A is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: The driver of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):
 

How much do you agree: The manufacturer of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):




How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle A could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):


How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle B could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):


How much do you agree: Vehicle B could have done more to avoid the accident. - 1",Which of the following was true about Vehicle B?,Which of the following was true about the video?,"How much do you agree: I would be willing to let a self-driving car make important driving decisions without my 
involvement. - 1","How much do you agree: If I was unable to monitor 
my driving activities, I would be willing to trust a self-driving car to get the job done right. - 1",How much do you agree: I trust a self-driving car to do things I can't do myself. - 1,How much do you agree: I trust a self-driving car to do things my vehicle can't do itself. - 1,How much do you agree: I generally do not trust a self-driving car. - 1,"Before this survey, how familiar were you with autonomous vehicle accident prevention algorithms?",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your age (in years)?,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,FL_4 - Block Randomizer - Display Order,questions_1_AV - Display Order,questions_2_AV - Display Order,questions_1 - Display Order,questions_2 - Display Order,trust_scale - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID149_FIRST_CLICK""}","{""ImportId"":""QID149_LAST_CLICK""}","{""ImportId"":""QID149_PAGE_SUBMIT""}","{""ImportId"":""QID149_CLICK_COUNT""}","{""ImportId"":""QID152_1""}","{""ImportId"":""QID153_1""}","{""ImportId"":""QID157_1""}","{""ImportId"":""QID158_1""}","{""ImportId"":""QID159_1""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID100_FIRST_CLICK""}","{""ImportId"":""QID100_LAST_CLICK""}","{""ImportId"":""QID100_PAGE_SUBMIT""}","{""ImportId"":""QID100_CLICK_COUNT""}","{""ImportId"":""QID166_1""}","{""ImportId"":""QID167_1""}","{""ImportId"":""QID168_1""}","{""ImportId"":""QID170_1""}","{""ImportId"":""QID171_1""}","{""ImportId"":""QID172_1""}","{""ImportId"":""QID111""}","{""ImportId"":""QID96""}","{""ImportId"":""QID174_1""}","{""ImportId"":""QID175_1""}","{""ImportId"":""QID176_1""}","{""ImportId"":""QID177_1""}","{""ImportId"":""QID178_1""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""FL_4_DO""}","{""ImportId"":""BL_9v5jJo3sYsvnnW6_DO""}","{""ImportId"":""BL_43jZUoIM0dGNdPw_DO""}","{""ImportId"":""BL_9GfzF27Xb7bM06i_DO""}","{""ImportId"":""BL_7O2TnwoTMaIzhJ4_DO""}","{""ImportId"":""BL_249XlfreUr09or4_DO""}"
2023-04-04 09:56:24,2023-04-04 09:56:37,0,24.130.52.49,100,13,1,2023-04-04 09:56:37,R_2rD5Lwgs2d9AWAd,,,,,37.8637,-122.276,anonymous,EN,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-04 09:56:46,2023-04-04 09:57:04,0,107.182.81.16,100,18,1,2023-04-04 09:57:05,R_Odtqn2eWMrA1HZT,,,,,38.7631,-89.6789,anonymous,EN,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-04 09:55:47,2023-04-04 09:57:41,0,199.218.242.7,100,114,1,2023-04-04 09:57:42,R_paOy8WK8I8ObpOV,,,,,40.0321,-82.9092,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,13.821,0,0,0,11.106,0,100,3,3,100,92,68,2,1,22,33,23,11,55,0,1,,44,5,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,trust_intro|av_trust_4|av_trust_5|av_trust_3|av_trust_2|av_trust_1
2023-04-04 09:55:43,2023-04-04 09:58:15,0,35.129.177.211,100,151,1,2023-04-04 09:58:16,R_b2vgRSHHBC20qsN,,,,,33.454,-84.1534,anonymous,EN,1,2,2,0,0,11.281,0,0,0,25.491,0,98,15,92,27,38,,,,,,,,,,,,,,,1,1,45,65,80,89,20,38,2,,29,3,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,trust_intro|av_trust_3|av_trust_4|av_trust_2|av_trust_5|av_trust_1
2023-04-04 09:55:44,2023-04-04 09:58:26,0,24.183.136.67,100,162,1,2023-04-04 09:58:26,R_1pX8UOHU5zPzgH9,,,,,43.4473,-88.2139,anonymous,EN,1,2,2,,,,,,,,,,,,,,9.208,19.076,19.519,4,3.259,8.397,10.805,4,99,10,10,85,17,25,2,1,13,10,13,14,92,69,1,,47,4,,FL_40,,,Q90|vA_liable|vB_driver_liable|vB_mnfctr_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,trust_intro|av_trust_1|av_trust_4|av_trust_5|av_trust_2|av_trust_3
2023-04-04 09:55:41,2023-04-04 09:58:29,0,132.147.144.40,100,167,1,2023-04-04 09:58:29,R_2ScVrq4erOQVZ1C,,,,,32.7692,-97.7515,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,18.832,0,0,0,11.236,0,100,3,9,95,4,6,2,1,36,33,29,31,29,14,1,,37,4,,FL_40,,,Q90|vB_mnfctr_liable|vA_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,trust_intro|av_trust_5|av_trust_3|av_trust_1|av_trust_2|av_trust_4
2023-04-04 09:55:51,2023-04-04 09:58:30,0,206.255.235.124,100,158,1,2023-04-04 09:58:30,R_Ao0tjwg7UgJ0jbX,,,,,34.1892,-92.0495,anonymous,EN,1,2,2,0,0,17.852,0,0,0,10.728,0,100,0,100,0,12,,,,,,,,,,,,,,,1,1,30,70,25,25,40,25,1,,40,1,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,trust_intro|av_trust_2|av_trust_3|av_trust_4|av_trust_1|av_trust_5
2023-04-04 09:56:56,2023-04-04 09:58:55,0,73.227.14.159,100,118,1,2023-04-04 09:58:55,R_qyf7yqUZkXmWrmh,,,,,42.4571,-71.221,anonymous,EN,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
