StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,vA_liable_AV_1,vB_mnfctr_liable_AV_1,vA_cntrfctl_AV_1,vB_cntrfctl_AV_1,avoid_AV_1,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_liable_1,vB_driver_liable_1,vB_mnfctr_liable_1,vA_cntrfctl_1,vB_cntrfctl_1,avoid_1,comp1,comp_accident,pol_affiliation_1,driving_ability_1,ai_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,FL_4_DO,questions_1_AV_DO,questions_2_AV_DO,questions_1_DO,questions_2_DO,moderators_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent,This is an attention check. John is taller than Paul. Who is shorter?,"What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: The driver of Vehicle A is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: The manufacturer of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle A could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle B could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: Vehicle B could have done more to avoid the accident. - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):


How much do you agree: The driver of Vehicle A is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: The driver of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):
 

How much do you agree: The manufacturer of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):




How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle A could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):


How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle B could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):


How much do you agree: Vehicle B could have done more to avoid the accident. - 1",Which of the following was true about Vehicle B?,Which of the following was true about the video?,"What is your political affiliation? (0=Highly liberal, 50=Neither liberal nor conservative, 100=Highly conservative):","The following question is about fully autonomous self-driving cars, which are cars that are driven by a computer algorithm, and whose human occupants have no control of the vehicle.

Please rate the extent to which you agree with the following statement: 

How much do you agree: I am definitely a safer driver than a self-driving car.","Before this survey, how familiar were you with autonomous vehicle accident prevention algorithms?",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your age (in years)?,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,FL_4 - Block Randomizer - Display Order,questions_1_AV - Display Order,questions_2_AV - Display Order,questions_1 - Display Order,questions_2 - Display Order,moderators - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID199_FIRST_CLICK""}","{""ImportId"":""QID199_LAST_CLICK""}","{""ImportId"":""QID199_PAGE_SUBMIT""}","{""ImportId"":""QID199_CLICK_COUNT""}","{""ImportId"":""QID201_FIRST_CLICK""}","{""ImportId"":""QID201_LAST_CLICK""}","{""ImportId"":""QID201_PAGE_SUBMIT""}","{""ImportId"":""QID201_CLICK_COUNT""}","{""ImportId"":""QID203_1""}","{""ImportId"":""QID204_1""}","{""ImportId"":""QID208_1""}","{""ImportId"":""QID209_1""}","{""ImportId"":""QID211_1""}","{""ImportId"":""QID214_FIRST_CLICK""}","{""ImportId"":""QID214_LAST_CLICK""}","{""ImportId"":""QID214_PAGE_SUBMIT""}","{""ImportId"":""QID214_CLICK_COUNT""}","{""ImportId"":""QID216_FIRST_CLICK""}","{""ImportId"":""QID216_LAST_CLICK""}","{""ImportId"":""QID216_PAGE_SUBMIT""}","{""ImportId"":""QID216_CLICK_COUNT""}","{""ImportId"":""QID166_1""}","{""ImportId"":""QID167_1""}","{""ImportId"":""QID168_1""}","{""ImportId"":""QID170_1""}","{""ImportId"":""QID171_1""}","{""ImportId"":""QID172_1""}","{""ImportId"":""QID111""}","{""ImportId"":""QID96""}","{""ImportId"":""QID218_1""}","{""ImportId"":""QID219_1""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""FL_4_DO""}","{""ImportId"":""BL_eEi5AkmXDuQVqAK_DO""}","{""ImportId"":""BL_cvGeqPyU6eYO754_DO""}","{""ImportId"":""BL_9GfzF27Xb7bM06i_DO""}","{""ImportId"":""BL_7O2TnwoTMaIzhJ4_DO""}","{""ImportId"":""BL_afoIdENE1rqnOfk_DO""}"
2023-04-06 14:11:26,2023-04-06 14:19:29,0,73.85.56.190,100,483,1,2023-04-06 14:19:30,R_Ybqp4qcJTUtxjWx,,,,,25.8959,-80.309,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,30.807,0,0,0,12.802,0,95,5,25,100,85,60,2,1,75,85,75,1,,25,1,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 14:40:18,2023-04-06 14:42:48,0,174.31.230.170,100,150,1,2023-04-06 14:42:50,R_33kVKopAugiHSvW,,,,,47.6462,-117.2657,anonymous,EN,1,2,2,0,0,20.601,0,0,0,11.609,0,83,17,87,50,62,,,,,,,,,,,,,,,1,1,86,63,50,2,,26,3,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 14:38:38,2023-04-06 14:45:00,0,173.88.177.178,100,382,1,2023-04-06 14:45:00,R_3LkfCynE1ZEJoyK,,,,,41.2986,-80.9525,anonymous,EN,1,2,2,,,,,,,,,,,,,,9.714,30.95,48.62,2,20.544,20.544,22.003,1,98,0,0,100,3,2,2,1,92,94,28,1,,70,4,,FL_40,,,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 14:44:29,2023-04-06 14:45:41,0,100.14.198.21,100,71,1,2023-04-06 14:45:41,R_3fOk4WCGdxNvn7H,,,,,39.9486,-75.2339,anonymous,EN,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 14:44:13,2023-04-06 14:48:58,0,74.219.40.226,100,285,1,2023-04-06 14:48:59,R_3KADIhnSkUN89Se,,,,,40.144,-84.2383,anonymous,EN,1,2,2,0,0,16.507,0,0,0,23.006,0,100,9,100,15,5,,,,,,,,,,,,,,,1,1,50,66,0,1,,40,3,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 15:02:28,2023-04-06 15:02:48,0,71.233.13.2,100,20,1,2023-04-06 15:02:49,R_2sSDBT1YDmfSs4I,,,,,41.3813,-73.4035,anonymous,EN,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 15:15:25,2023-04-06 15:18:33,0,35.142.2.112,100,188,1,2023-04-06 15:18:34,R_2YQuyjbiEmKvQG3,,,,,27.9455,-82.4598,anonymous,EN,1,2,2,5.811,20.118,23.823,2,11.316,11.316,12.775,1,100,0,100,30,10,,,,,,,,,,,,,,,1,1,0,100,30,1,,35,2,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 15:14:13,2023-04-06 15:19:07,0,35.145.211.138,100,293,1,2023-04-06 15:19:07,R_11k1CL9YYsfvDrK,,,,,27.9455,-82.4598,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,22.364,0,0,0,13.822,0,91,8,10,82,24,25,2,1,80,72,16,2,,23,4,,FL_40,,,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,pol_affiliation|driving_ability
