StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,countf,countf_cat,countf_flag,vA_liable_AV_1,vB_mnfctr_liable_AV_1,avoid_AV_1,comp1,comp_accident,ai_familiarity_1,liab_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,questions_intro_DO,countf_DO,questions_1_DO,questions_2_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent,This is an attention check. John is taller than Paul. Who is shorter?,"What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"After the accident, the occupant of Vehicle B often thought and often said “If only…”

Please think about how things could have gone differently if, instead of being a passenger of the Autonomous Vehicle B, the human occupant of Vehicle B had been driving a regular human-driven vehicle instead. That is, imagine how things could have turned out differently if the human occupant had had full control over Vehicle B. 

In the textbox below, please describe how things could have gone differently, starting the sentence with ""If the human occupant of Vehicle B had been driving a regular vehicle instead, then...""",,,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: The driver of Vehicle A is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: The manufacturer of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: Vehicle B could have done more to avoid the accident. - 1",Which of the following was true about Vehicle B?,Which of the following was true about the video?,"Relative to the average person, how familiar are you with autonomous vehicle accident prevention algorithms?","Relative to the average person, how familiar are you with the laws regarding who is at fault in a car accident?",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your age (in years)?,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,questions_intro - Display Order,countf - Display Order,questions_1 - Display Order,questions_2 - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID102_FIRST_CLICK""}","{""ImportId"":""QID102_LAST_CLICK""}","{""ImportId"":""QID102_PAGE_SUBMIT""}","{""ImportId"":""QID102_CLICK_COUNT""}","{""ImportId"":""QID143_TEXT""}",,,"{""ImportId"":""QID118_1""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID111""}","{""ImportId"":""QID96""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID127_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""BL_0uDknWtGHSEO4ho_DO""}","{""ImportId"":""BL_aYtq1afkUsNueTc_DO""}","{""ImportId"":""BL_9v5jJo3sYsvnnW6_DO""}","{""ImportId"":""BL_43jZUoIM0dGNdPw_DO""}"
2023-05-31 22:07:54,2023-05-31 22:11:04,0,70.37.204.176,100,189,1,2023-05-31 22:11:05,R_2QrG5iwnoiLiFOC,,,,,42.8875,-98.7061,anonymous,EN,1,2,2,0,0,27.501,0,0,0,11.871,0,"If the human occupant of Vehicle B had been driving a regular vehicle instead, then perhaps they would have seen the other car and stopped before it blew through the stop sign.",1,,100,0,10,1,1,8,91,2,,52,5,,Q148,countf,vA_liable_AV|vB_mnfctr_liable_AV,Q122|avoid_AV
2023-05-31 22:08:35,2023-05-31 22:12:16,0,174.67.137.14,100,220,1,2023-05-31 22:12:16,R_3kgM500SfxpS4ox,,,,,29.9317,-90.1026,anonymous,EN,1,2,2,25.682,25.682,26.003,1,0,0,17.43,0,He would have not continued through the intersection and avoided an accident,1,,62,74,70,1,1,25,75,1,,41,4,,Q148,countf,vA_liable_AV|vB_mnfctr_liable_AV,Q122|avoid_AV
2023-05-31 22:10:54,2023-05-31 22:13:29,0,164.90.52.233,100,154,1,2023-05-31 22:13:30,R_vGiSWkHEdnr02Tn,,,,,35.3721,-97.2002,anonymous,EN,1,2,2,0,0,11.779,0,0,0,11.099,0,the vehivle would have stopped at the stop sign and the accident could've been avoided,1,,76,0,0,2,1,15,75,2,,30,4,,Q148,countf,vA_liable_AV|vB_mnfctr_liable_AV,Q122|avoid_AV
2023-05-31 22:10:28,2023-05-31 22:15:11,0,70.189.141.43,100,283,1,2023-05-31 22:15:12,R_1Kew9PmKUpITaNk,,,,,36.1724,-115.0677,anonymous,EN,1,2,2,0,0,31.578,0,0,0,11.366,0,"If the human occupant had been driving, they would have been able to see Vehicle A coming at full speed, and would have consciously made a decision not to drive forward until the roads were clear for them to drive.",1,,100,75,60,1,1,30,75,1,,29,4,,Q148,countf,vB_mnfctr_liable_AV|vA_liable_AV,Q122|avoid_AV
2023-05-31 22:11:20,2023-05-31 22:18:28,0,99.180.33.136,100,428,1,2023-05-31 22:18:29,R_28BpvqAmjOkgKPa,,,,,26.4554,-80.0755,anonymous,EN,1,2,2,0,0,30.64,0,0,0,13.639,0,"If the human occupant of Vehicle B had been driving a regular vehicle instead, then they would have seen Vehicle A coming out of their peripheral vision at a minimum.  They would have also seen the car was going entirely too fast to stop and would have been able to either slam on the brakes or accelerate very quickly to potentially avoid the collision",1,,80,45,95,1,1,35,75,2,,62,5,,Q148,countf,vB_mnfctr_liable_AV|vA_liable_AV,Q122|avoid_AV
2023-05-31 22:19:08,2023-05-31 22:22:24,0,23.240.241.192,100,195,1,2023-05-31 22:22:24,R_26nXHFbOHEHd2yx,,,,,34.074,-118.2611,anonymous,EN,1,2,2,0,0,22.976,0,0,0,11.385,0,"If the human occupant of Vehicle B had been driving a regular vehicle instead, then he might not have proceeded into the intersection when Car A approached.",1,,100,20,70,1,1,71,61,2,,49,3,,Q148,countf,vA_liable_AV|vB_mnfctr_liable_AV,Q122|avoid_AV
2023-05-31 22:24:52,2023-05-31 22:29:30,0,50.159.6.38,100,278,1,2023-05-31 22:29:31,R_3D0x9Eu4XB5KLMG,,,,,35.9978,-114.9592,anonymous,EN,1,2,2,20.111,35.282,36.646,2,0,0,11.775,0,Thing that could have gone differently is vehicle B could have been hurt worse then did happen. They could have been killed.,2,,100,30,20,1,2,0,0,1,,31,4,,Q148,countf,vB_mnfctr_liable_AV|vA_liable_AV,Q122|avoid_AV
2023-05-31 22:28:21,2023-05-31 22:31:16,0,172.74.176.227,100,174,1,2023-05-31 22:31:17,R_vTE7hWS6CMHntvj,,,,,35.0742,-78.965,anonymous,EN,1,2,2,0,0,12.025,0,0,0,10.897,0,"If the human occupant of Vehicle B had been driving a regular vehicle instead, then the driver could avoid the collision by slamming on the brakes or staying stopped at the stop sign while Vehicle A ran through the intersection",1,,100,30,60,1,1,10,60,2,,28,3,,Q148,countf,vB_mnfctr_liable_AV|vA_liable_AV,Q122|avoid_AV
2023-05-31 22:28:31,2023-05-31 22:31:22,0,207.228.41.136,100,170,1,2023-05-31 22:31:22,R_2WPwra7WqR9IwOA,,,,,40.7494,-73.9664,anonymous,EN,1,2,2,0,0,13.406,0,0,0,11.666,0,vechicle a,0,,65,80,62,1,2,62,58,1,,48,5,,Q148,countf,vB_mnfctr_liable_AV|vA_liable_AV,Q122|avoid_AV
2023-05-31 22:27:37,2023-05-31 22:32:33,0,73.55.254.78,100,295,1,2023-05-31 22:32:33,R_1mK7KiiY6Vy27DJ,,,,,29.7926,-95.1236,anonymous,EN,1,2,2,0,0,35.316,0,0,0,11.22,0,They could have seen the vehicle A not stopping at the stop sign and slam on the brakes hopefully missing the collision of the two cars,1,,100,0,71,1,1,83,67,2,,26,4,,Q148,countf,vA_liable_AV|vB_mnfctr_liable_AV,Q122|avoid_AV
2023-05-31 22:28:57,2023-05-31 22:33:30,0,98.116.121.27,100,273,1,2023-05-31 22:33:31,R_2aWCfplPDcetY07,,,,,40.8777,-73.908,anonymous,EN,1,2,2,0,0,73.137,0,0,0,11.519,0,the human would have looked to his right and see Vehicle A approaching.,1,,50,70,100,1,1,20,35,1,,49,4,,Q148,countf,vA_liable_AV|vB_mnfctr_liable_AV,Q122|avoid_AV
2023-05-31 22:27:38,2023-05-31 22:36:58,0,172.59.189.204,100,560,1,2023-05-31 22:36:58,R_28SDkil136ZtUMO,,,,,41.8502,-87.6736,anonymous,EN,1,2,2,8.819,29.421,69.717,11,0,0,16.447,0,"If the human occupant of Vehicle B had been driving a regular vehicle instead, then it is possible a human driver could have had the vision and reflexes to spot vehicle A in time to brake and avoid a collision. This is not a certainty, but it is a hypothetical possibility.",1,,100,100,100,1,1,40,60,4,non-binary,39,4,,Q148,countf,vA_liable_AV|vB_mnfctr_liable_AV,Q122|avoid_AV
2023-05-31 22:34:52,2023-05-31 22:38:26,0,174.135.114.180,100,214,1,2023-05-31 22:38:27,R_WlcazuB5d25G3AZ,,,,,35.3407,-119.0596,anonymous,EN,1,2,2,0,0,30.339,0,0,0,11.247,0,"If the human occupant of Vehicle B had been driving a regular vehicle instead, then maybe they could have stopped intime to prevent the collision. However, its also possible that nothing would have changed, or stopping would have caused a worse incident. Driver A is fully at fault",2,,100,0,15,1,1,0,50,1,,26,3,,Q148,countf,vB_mnfctr_liable_AV|vA_liable_AV,Q122|avoid_AV
2023-05-31 22:40:34,2023-05-31 22:43:53,0,47.185.119.236,100,199,1,2023-05-31 22:43:54,R_2YeT7DmejAcKQMq,,,,,32.9321,-97.2834,anonymous,EN,1,2,2,0,0,11.237,0,0,0,11.186,0,The human occupant might have been able to respond quicker and have more agility when deciding how to handle vehicle A running the stop sign. ,1,,82,17,30,1,1,60,70,1,,42,4,,Q148,countf,vB_mnfctr_liable_AV|vA_liable_AV,Q122|avoid_AV
2023-05-31 22:41:29,2023-05-31 22:46:22,0,174.240.113.141,100,293,1,2023-05-31 22:46:22,R_3O9zeY7Neus7ThT,,,,,42.9469,-85.6206,anonymous,EN,1,2,2,10.72,10.72,24.202,1,0,0,12.824,0,"It is possible that the human might have noticed that A wasn't slowing down to stop and waited longer to be sure they weren't going to run the stop, thus avoiding the accident.",1,,100,10,100,1,1,60,50,1,,40,3,,Q148,countf,vA_liable_AV|vB_mnfctr_liable_AV,Q122|avoid_AV
2023-05-31 22:49:24,2023-05-31 22:54:09,0,71.15.144.237,100,284,1,2023-05-31 22:54:09,R_3nOvrJANMlCRZjl,,,,,36.334,-82.3439,anonymous,EN,1,2,2,5.126,21.329,23.283,3,14.176,14.176,14.961,1,Vehicle A wouldn't have ran the stop sign.,2,1,100,0,16,1,1,8,89,2,,30,3,,Q148,countf,vB_mnfctr_liable_AV|vA_liable_AV,Q122|avoid_AV
2023-05-31 22:49:04,2023-05-31 22:54:12,0,68.5.233.134,100,308,1,2023-05-31 22:54:13,R_2AYwWm2Gvu3NYGc,,,,,33.6816,-117.8302,anonymous,EN,1,2,2,0,0,19.639,0,0,0,12.889,0,"If the human occupant of Vehicle B had been driving a regular vehicle instead, then he/she would not have slowed down before entering the intersection, thereby causing the collision with Vehicle A.",2,,80,100,100,1,1,0,50,1,,42,4,,Q148,countf,vA_liable_AV|vB_mnfctr_liable_AV,Q122|avoid_AV
2023-05-31 22:53:45,2023-05-31 22:56:02,0,69.50.232.90,100,137,1,2023-05-31 22:56:03,R_1iqA84A7Iv77q2B,,,,,39.0469,-77.4903,anonymous,EN,1,2,2,0,0,11.026,0,0,0,10.983,0,"If the human occupant of Vehicle B had been driving a regular vehicle instead, then the accident could have possible been avoided. The driver may have been able to swerve away or notice that vehicle A was not slowing down.",1,,100,70,51,1,1,13,29,2,,23,3,,Q148,countf,vA_liable_AV|vB_mnfctr_liable_AV,Q122|avoid_AV
2023-05-31 22:48:34,2023-05-31 22:56:59,0,50.1.106.198,100,505,1,2023-05-31 22:57:00,R_6orE5PZqdr6LRst,,,,,37.7925,-122.4122,anonymous,EN,1,2,2,0,0,49.015,0,0,0,16.653,0,"maybe he or she could have slowed down, or swerved out of the way.",1,,100,0,5,1,1,50,50,2,,47,4,,Q148,countf,vB_mnfctr_liable_AV|vA_liable_AV,Q122|avoid_AV
2023-05-31 22:59:06,2023-05-31 23:04:56,0,98.26.54.104,100,349,1,2023-05-31 23:04:56,R_3JJladHW3lkSfJM,,,,,36.0229,-78.9464,anonymous,EN,1,2,2,7.904,31.264,33.28,2,18.856,18.856,21.202,1,"If the occupant of vehicle b had been driving, then they would have seen the car coming and could maybe have judged if the other car was going to stop at the stop sign.",1,,100,100,71,1,1,0,99,2,,54,4,,Q148,countf,vB_mnfctr_liable_AV|vA_liable_AV,Q122|avoid_AV
2023-05-31 23:01:33,2023-05-31 23:05:19,0,174.72.231.141,100,226,1,2023-05-31 23:05:19,R_29h9p9gkNmQ9JDG,,,,,36.175,-115.1372,anonymous,EN,1,2,2,0,0,21.928,0,0,0,11.922,0,"If the human occupant of Vehicle B had been driving a regular vehicle instead, then maybe they would have noticed vehicle A coming fast and waited to see if A was going to stop at the stop sign or not.",1,,100,7,1,1,1,3,70,1,,36,4,,Q148,countf,vA_liable_AV|vB_mnfctr_liable_AV,Q122|avoid_AV
2023-05-31 22:59:58,2023-05-31 23:05:23,0,73.201.67.215,100,325,1,2023-05-31 23:05:24,R_Ubtz4l766dwdjQB,,,,,38.8341,-76.7974,anonymous,EN,1,2,2,0,0,12.968,0,0,0,13.881,0,wait for other vehicle to stop,1,,40,60,40,1,1,20,20,1,,29,2,,Q148,countf,vA_liable_AV|vB_mnfctr_liable_AV,Q122|avoid_AV
2023-05-31 23:07:27,2023-05-31 23:10:26,0,71.28.46.211,100,178,1,2023-05-31 23:10:26,R_2dmzbSIq21cHQIZ,,,,,31.4996,-82.8471,anonymous,EN,1,2,2,3.352,19.006,20.233,3,0,0,11.433,0,It wouldn’t be different it would be the same,2,,100,84,83,1,1,83,100,2,,33,1,,Q148,countf,vB_mnfctr_liable_AV|vA_liable_AV,Q122|avoid_AV
2023-05-31 23:19:25,2023-05-31 23:28:02,0,97.64.247.30,100,516,1,2023-05-31 23:28:02,R_2aXkbfn26CwR5HW,,,,,30.8464,-85.69,anonymous,EN,1,2,2,0,0,54.453,0,0,0,12.225,0,"they might have seen vehicle A was not stopping for the sign, and B could have stopped before A ran the sign.  ",1,,88,17,91,1,1,75,81,1,,58,3,,Q148,countf,vB_mnfctr_liable_AV|vA_liable_AV,Q122|avoid_AV
2023-05-31 23:35:21,2023-05-31 23:39:13,0,73.51.124.195,100,232,1,2023-05-31 23:39:14,R_3p0etTzbl3oYkyY,,,,,41.5681,-87.1749,anonymous,EN,1,2,2,3.384,19.037,19.604,2,0,0,15.657,0,"If the human occupant of Vehicle B had been driving a regular vehicle instead, then they could have noticed the other car moving so fast instead of a program telling the car to go after making a complete stop.",1,,100,20,25,1,1,34,50,2,,51,2,,Q148,countf,vA_liable_AV|vB_mnfctr_liable_AV,Q122|avoid_AV
2023-05-31 23:45:33,2023-05-31 23:47:54,0,98.248.113.57,100,140,1,2023-05-31 23:47:54,R_3nDv4FNerrwkNg1,,,,,37.3083,-121.9643,anonymous,EN,1,2,2,0,0,11.581,0,0,0,11.022,0,"If the human occupant of Vehicle B had been driving a regular vehicle instead, they might have acted more spontaneously and therefore been able to avoid the oncoming car.",1,,94,73,12,1,1,59,60,1,,22,3,,Q148,countf,vB_mnfctr_liable_AV|vA_liable_AV,Q122|avoid_AV
