StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,vA_sue_AV_1,vB_mf_sue_AV_1,avoid_AV_1,Q149_First Click,Q149_Last Click,Q149_Page Submit,Q149_Click Count,vA_sue_AV_intv_1,vB_mf_sue_AV_intv_1,avoid_AV_intv_1,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_sue_1,vB_driver_sue_1,vB_mf_sue_1,avoid_1,Q163_First Click,Q163_Last Click,Q163_Page Submit,Q163_Click Count,vA_sue_intv_1,vB_sue_intv_1,vB_mf_sue_intv_1,avoid_intv_1,comp1,comp_accident,ai_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,Q151_First Click,Q151_Last Click,Q151_Page Submit,Q151_Click Count,FL_4_DO,FL_92_DO,FL_98_DO,questions_1_AV_DO,questions_2_AV_DO,questions_1_AV_intv_DO,questions_2_AV_intv_DO,questions_1_DO,questions_2_DO,questions_1_intv_DO,questions_2_intv_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent,This is an attention check. John is taller than Paul. Who is shorter?,"What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Vehicle B is a fully autonomous self-driving car.




 

Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the driver of Vehicle A to cover the costs of the serious injuries sustained by the occupant of Vehicle B. - 1","Vehicle B is a fully autonomous self-driving car.



 

Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the manufacturer of Vehicle B to cover the costs of the serious injuries sustained by the occupant of Vehicle B. - 1","Vehicle B is a fully autonomous self-driving car.



 
Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):



How much do you agree: Vehicle B could have avoided the accident. - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Vehicle B is a fully autonomous self-driving car.




 

Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the driver of Vehicle A to cover the costs of the serious injuries sustained by the occupant of Vehicle B. - 1","Vehicle B is a fully autonomous self-driving car.



 

Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the manufacturer of Vehicle B to cover the costs of the serious injuries sustained by the occupant of Vehicle B. - 1","Vehicle B is a fully autonomous self-driving car.



 
Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):



How much do you agree: Vehicle B could have avoided the accident. - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the driver of Vehicle A to cover the costs of the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: It would be reasonable to sue the driver of Vehicle B to cover the costs of the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: It would be reasonable to sue the manufacturer of Vehicle B to cover the costs of the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: Vehicle B could have avoided the accident. - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the driver of Vehicle A to cover the costs of the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the driver of Vehicle B to cover the costs of the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the manufacturer of Vehicle B to cover the costs of the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):



How much do you agree: Vehicle B could have avoided the accident. - 1",Which of the following was true about Vehicle B?,Which of the following was true about the video?,"Before this survey, how familiar were you with autonomous vehicle accident prevention algorithms?",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your age (in years)?,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,FL_4 - Block Randomizer - Display Order,FL_92 - Block Randomizer - Display Order,FL_98 - Block Randomizer - Display Order,questions_1_AV - Display Order,questions_2_AV - Display Order,questions_1_AV_intv - Display Order,questions_2_AV_intv - Display Order,questions_1 - Display Order,questions_2 - Display Order,questions_1_intv - Display Order,questions_2_intv - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID102_FIRST_CLICK""}","{""ImportId"":""QID102_LAST_CLICK""}","{""ImportId"":""QID102_PAGE_SUBMIT""}","{""ImportId"":""QID102_CLICK_COUNT""}","{""ImportId"":""QID138_1""}","{""ImportId"":""QID137_1""}","{""ImportId"":""QID172_1""}","{""ImportId"":""QID149_FIRST_CLICK""}","{""ImportId"":""QID149_LAST_CLICK""}","{""ImportId"":""QID149_PAGE_SUBMIT""}","{""ImportId"":""QID149_CLICK_COUNT""}","{""ImportId"":""QID156_1""}","{""ImportId"":""QID157_1""}","{""ImportId"":""QID173_1""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID100_FIRST_CLICK""}","{""ImportId"":""QID100_LAST_CLICK""}","{""ImportId"":""QID100_PAGE_SUBMIT""}","{""ImportId"":""QID100_CLICK_COUNT""}","{""ImportId"":""QID139_1""}","{""ImportId"":""QID140_1""}","{""ImportId"":""QID141_1""}","{""ImportId"":""QID174_1""}","{""ImportId"":""QID163_FIRST_CLICK""}","{""ImportId"":""QID163_LAST_CLICK""}","{""ImportId"":""QID163_PAGE_SUBMIT""}","{""ImportId"":""QID163_CLICK_COUNT""}","{""ImportId"":""QID165_1""}","{""ImportId"":""QID171_1""}","{""ImportId"":""QID166_1""}","{""ImportId"":""QID175_1""}","{""ImportId"":""QID111""}","{""ImportId"":""QID96""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""QID151_FIRST_CLICK""}","{""ImportId"":""QID151_LAST_CLICK""}","{""ImportId"":""QID151_PAGE_SUBMIT""}","{""ImportId"":""QID151_CLICK_COUNT""}","{""ImportId"":""FL_4_DO""}","{""ImportId"":""FL_92_DO""}","{""ImportId"":""FL_98_DO""}","{""ImportId"":""BL_9v5jJo3sYsvnnW6_DO""}","{""ImportId"":""BL_43jZUoIM0dGNdPw_DO""}","{""ImportId"":""BL_3ltGmWeTFlSsIcK_DO""}","{""ImportId"":""BL_8ughXyapElVrMJE_DO""}","{""ImportId"":""BL_9GfzF27Xb7bM06i_DO""}","{""ImportId"":""BL_7O2TnwoTMaIzhJ4_DO""}","{""ImportId"":""BL_54RNZgc2hzd5s5U_DO""}","{""ImportId"":""BL_9z97j07fOvTxuyG_DO""}"
2024-06-03 18:17:17,2024-06-03 18:17:17,2,,100,0,1,2024-06-03 18:17:17,R_25Gm5i5DGFdhVum,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03 18:17:17,2024-06-03 18:17:17,2,,100,0,1,2024-06-03 18:17:18,R_0rcHC9KFQY8Q462,,,,,,,test,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03 18:17:18,2024-06-03 18:17:18,2,,100,0,1,2024-06-03 18:17:18,R_e8qaQRygO9UdoeG,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03 18:17:18,2024-06-03 18:17:18,2,,100,0,1,2024-06-03 18:17:18,R_0OMXTh5RQrY8TVs,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03 18:17:18,2024-06-03 18:17:18,2,,100,0,1,2024-06-03 18:17:18,R_aWfxI65XYI490Ts,,,,,,,test,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03 18:17:18,2024-06-03 18:17:18,2,,100,0,1,2024-06-03 18:17:18,R_di0KBxB6CjxkF4W,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03 18:17:18,2024-06-03 18:17:18,2,,100,0,1,2024-06-03 18:17:19,R_82htNnnEiHFjMmW,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03 18:17:19,2024-06-03 18:17:19,2,,100,0,1,2024-06-03 18:17:19,R_bvCyWsLS4qv4xq6,,,,,,,test,,1,2,2,,,,,,,,,,,,,,,,,,,7.19,8.84,8.71,0,8.93,9.16,9.53,12,,,,,0.38,3.11,6.88,24,64,42,64,74,1,2,44,1,,"Odio amet. Volutpat duis morbi dolor odio, wisi lectus nullam cursus. Lectus. Dignissim est.",5,,,,,,FL_40,,FL_100,,,,,,,Q164|vA_sue_intv|vB_sue_intv|vB_mf_sue_intv,Q167|avoid_intv
